time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,raw_watts,raw_heartrate,left_right_balance,hrv
99,312,83,149,530.58,518.0,43.696182,40.26929,6.727,36,36,312,149,48,374
100,203,89,150,537.37,518.0,43.696243,40.269283,6.793,36,22,203,150,54,372
101,117,89,150,544.07,518.0,43.696304,40.269276,6.877,36,13,117,150,51,374
102,117,87,151,550.83,518.2,43.696365,40.269264,6.783,36,13,117,151,47,374
103,264,87,152,557.78,518.2,43.696426,40.26925,7.045,36,29,264,152,42,376
104,161,90,153,564.93,518.2,43.69649,40.269234,7.035,36,17,161,153,50,374
105,103,90,153,571.98,518.2,43.696552,40.269215,6.961,36,11,103,153,50,375
106,103,86,154,578.79,518.2,43.69661,40.269196,6.858,36,11,103,154,50,374
107,161,86,155,585.72,518.4,43.69667,40.26917,6.877,36,18,161,155,34,376
108,161,85,155,592.65,518.4,43.69673,40.269142,6.811,36,18,161,155,49,376
109,106,84,156,599.53,518.4,43.69679,40.269115,6.69,36,12,106,156,42,376
110,38,78,156,606.25,518.4,43.696846,40.26909,6.485,36,5,38,156,41,377
111,179,78,156,612.61,518.4,43.6969,40.269062,6.224,36,22,179,156,41,377
112,179,54,156,618.77,518.4,43.696953,40.26904,6.084,36,32,179,156,36,376
113,558,85,156,625.11,518.6,43.697006,40.26902,6.513,36,63,558,156,56,377
114,218,88,156,631.79,519.0,43.697067,40.268997,6.858,36,24,218,156,68,377
115,214,86,157,638.63,519.2,43.697124,40.26897,6.755,36,24,214,157,68,377
116,295,87,157,645.49,519.2,43.69718,40.268944,6.867,36,32,295,157,68,378
117,205,89,158,652.52,519.4,43.697243,40.268913,6.979,36,22,205,158,68,376
118,219,89,158,659.73,519.6,43.697304,40.268887,7.315,36,23,219,158,49,758
119,219,88,159,667.08,520.0,43.69737,40.268864,7.175,36,24,219,159,61,380
120,275,91,160,674.2,520.2,43.69743,40.26885,7.026,36,29,275,160,43,379
121,228,90,161,681.32,520.4,43.697495,40.26884,7.175,36,24,228,161,43,382
122,260,94,161,688.53,520.6,43.69756,40.268845,7.194,36,26,260,161,52,382
123,181,87,162,695.81,520.6,43.697624,40.26886,7.315,36,20,181,162,52,383
124,187,90,163,703.2,520.8,43.69769,40.268887,7.465,36,20,187,163,44,382
125,297,93,163,710.71,520.8,43.69775,40.26893,7.521,36,30,297,163,49,383
126,147,89,164,718.04,520.8,43.697807,40.268974,7.119,35,16,147,164,48,381
